OLT,F,S,P,Código QR,Cuenta,Latitud,Longitud,Capacidad,Ubicacion
ALDAMA_2_JUA,3,1,2,TP255665,0142016166,31.766013,-106.535766,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP255665,0107399389,31.766013,-106.535766,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP255665,0142048829,31.766013,-106.535766,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP255665,0132330890,31.766013,-106.535766,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP255665,0141863291,31.766013,-106.535766,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP255665,0118450238,31.766013,-106.535766,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP255665,0107472770,31.766013,-106.535766,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP249265,0120637556,31.768587,-106.558516,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP249265,0141614162,31.768587,-106.558516,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP249265,0143130368,31.768587,-106.558516,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP249265,0140507892,31.768587,-106.558516,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP249265,0143161307,31.768587,-106.558516,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP249265,0143176979,31.768587,-106.558516,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP249422,0143472621,31.769441,-106.56007,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP249422,0142835230,31.769441,-106.56007,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP249422,0141893612,31.769441,-106.56007,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP249422,0141716084,31.769441,-106.56007,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP249422,0129031031,31.769441,-106.56007,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP249422,0108010850,31.769441,-106.56007,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP249422,0141174262,31.769441,-106.56007,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP249422,0114096535,31.769441,-106.56007,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP249422,0107547973,31.769441,-106.56007,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP249422,0115718217,31.769441,-106.56007,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP249422,0140597874,31.769441,-106.56007,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP250845,0142664238,31.768438,-106.554547,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP250845,0142810762,31.768438,-106.554547,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP250845,0140958733,31.768438,-106.554547,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP250845,0142986292,31.768438,-106.554547,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP250845,0107626344,31.768438,-106.554547,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP250845,0115017841,31.768438,-106.554547,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP250845,0143061643,31.768438,-106.554547,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP250845,0143197632,31.768438,-106.554547,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP254257,0107561200,31.766863,-106.557766,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP254257,0108453689,31.766863,-106.557766,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP254257,0140214438,31.766863,-106.557766,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP254258,0141176487,31.766238,-106.556359,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP254258,0141410776,31.766238,-106.556359,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP254258,0120419946,31.766238,-106.556359,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP254258,0126744411,31.766238,-106.556359,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP254258,0143292171,31.766238,-106.556359,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP254258,0141341494,31.766238,-106.556359,1:16,Poste
ALDAMA_2_JUA,3,1,3,TP254258,0112337420,31.766238,-106.556359,1:16,Poste
